si-cgs-em	SI (2019 revision)	—	generators_only	v1	0
si-cgs-em	MKSA / pre-2019 SI (Giorgi rationalized system)	—	generators_only	v1	0
si-cgs-em	Unrationalized MKS (pre-1950 Giorgi; Kennelly-type MKS)	—	needs_symbol_rescaling	v2	4
si-cgs-em	SI with the Kennelly (magnetic-polarization) convention	—	needs_symbol_rescaling	v2	3
si-cgs-em	CGS-Gaussian	4\pi·4\pi\varepsilon_0	needs_symbol_rescaling	v1	5
si-cgs-em	CGS-ESU (electrostatic units)	4\pi·4\pi\varepsilon_0	needs_symbol_rescaling	v1	2
si-cgs-em	CGS-EMU (electromagnetic units)	1/(4\pi)·\mu_0/(4\pi)	needs_symbol_rescaling	v1	2
si-cgs-em	Heaviside–Lorentz	\varepsilon_0	needs_symbol_rescaling	v1	4
si-cgs-em	Variant-Gaussian (hybrid "rogue" convention)	4\pi·4\pi\varepsilon_0; 1/(4\pi)·\mu_0/(4\pi)	unsupported	v2	1
si-cgs-em	Practical/mixed CGS of experimental magnetism ("the emu system" as used in materials science)	4\pi·4\pi\varepsilon_0	needs_symbol_rescaling	v2	5
si-cgs-em	Jackson 3rd edition hybrid (document-level convention)	—	generators_only	v1	0
si-cgs-em	Gaussian-geometrized (Gaussian with G = c = 1)	4\pi·4\pi\varepsilon_0; c; G	needs_symbol_rescaling	v1	1
si-cgs-em	Heaviside–Lorentz natural units (ħ = c = 1, rationalized)	\varepsilon_0; \hbar; c	needs_symbol_rescaling	v1	1
si-cgs-em	QES practical system (quadrant–eleventhgram–second)	1/(4\pi)·\mu_0/(4\pi)	generators_only	out_of_scope	2
si-cgs-em	International electrical units (1893/1908–1948)	—	needs_symbol_rescaling	out_of_scope	3
si-cgs-em	Gauss's absolute magnetic system (1832)	1/(4\pi)·\mu_0/(4\pi)	unsupported	out_of_scope	1
si-cgs-em	Weber's absolute electrodynamic system	—	unsupported	out_of_scope	1
hep-natural	HEP natural units (ħ = c = 1) with Heaviside–Lorentz electromagnetism	\hbar; c; \varepsilon_0	needs_symbol_rescaling	v1	3
hep-natural	HEP natural units with Boltzmann constant (ħ = c = k_B = 1, Heaviside–Lorentz)	\hbar; c; k_B; \varepsilon_0	needs_symbol_rescaling	v1	2
hep-natural	Gaussian natural units (ħ = c = 4πε₀ = 1)	\hbar; c; 4\pi·\varepsilon_0	needs_symbol_rescaling	v1	3
hep-natural	Hybrid: ħ = c = 1 with SI/laboratory electromagnetism retained (ε₀ NOT set)	\hbar; c	needs_symbol_rescaling	v2	2
hep-natural	CODATA/NIST natural units (ħ = c = m_e = 1)	\hbar; c; m_e; 1 (Heaviside–Lorentz flavour) or 4\pi (Gaussian flavour) — paper-dependent·\varepsilon_0	generators_only	v2	1
hep-natural	Relativistic units (c = 1 only; ħ retained)	c	generators_only	v2	1
hep-natural	Planck units, Gaussian flavour (ħ = c = G = k_B = 4πε₀ = 1)	\hbar; c; G; k_B; 4\pi·\varepsilon_0	needs_symbol_rescaling	v1	2
hep-natural	Planck units, Heaviside–Lorentz flavour (ħ = c = G = k_B = ε₀ = 1)	\hbar; c; G; k_B; \varepsilon_0	needs_symbol_rescaling	v2	2
hep-natural	Reduced Planck units (ħ = c = k_B = 1, 8πG = 1, M̄_pl = 1)	\hbar; c; k_B; 8\pi·G; \varepsilon_0	needs_symbol_rescaling	v1	2
hep-natural	Holographic/SUGRA gravitational units (16πG = 1, equivalently 2κ² = 1)	\hbar; c; 16\pi·G	needs_symbol_rescaling	v1	2
hep-natural	String units α' = 1 (with ħ = c = 1)	\hbar; c; \alpha'	generators_only	v1	2
hep-natural	String length units ℓ_s = 1 with α' = ℓ_s²	\hbar; c; \alpha'	generators_only	v1	1
hep-natural	String length units ℓ_s = 1 with ℓ_s = 2π√α' (2π convention)	\hbar; c; (2\pi)^2·\alpha'	generators_only	v1	2
hep-natural	Worldsheet-convenience convention α' = 2 (closed string)	\hbar; c; \tfrac12·\alpha'	generators_only	v2	1
hep-natural	Worldsheet-convenience convention α' = 1/2 (open string)	\hbar; c; 2·\alpha'	generators_only	v2	1
hep-natural	Eleven-dimensional Planck / M-theory units (ℓ_p = 1, or 2κ₁₁² = 1)	\hbar; c; \ell_p^{(11)}	generators_only	v2	2
hep-natural	AdS radius units (L = 1), usually with 16πG = 1	\hbar; c; L_{\rm AdS}; 16\pi\ (\text{when } 16\pi G = 1 \text{ is also imposed})·G	needs_custom_generators	v2	3
hep-natural	Lattice units (a = 1) on top of ħ = c = 1	\hbar; c; a\ (\text{lattice spacing})	needs_custom_generators	v1	4
